Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2, J3, J4",PinHeader_1x02_P1.27mm_Vertical,4,2-pin Header,C2881948
J5,504050-1091,1,Interconnect_Battery_Power-Battery_side,C5375652
J6,Molex_Pico-Clasp_501331-0207_1x02-1MP_P1.00mm_Vertical,1,Conn_02x01_MountingPin,C587859
"JP1, JP2",HDRV3W64P0X254_1X3_762X254X869P,2,Conn_01x03,C2915006
R1,0603,1,6.04k,C114631
R2,0603,1,8.2k,C114637
R3,0603,1,3.0k,C126358
R4,0603,1,4.7k,C99782
TH1,0402,1,10k NTC,C336815
"TP4, TP5",Keystone_5002,2,White,C238123
